Id,Starttime,#Flows,#Packets,#Srcaddr,#Dstaddr,#Bytes,#labels,#UDPUniqEst,#UDPUniqInt,#UDPTotEstFlow,#UDPTotIntFlow,#NewEstUDPCCIP,TotEstUDPCCIP,#NewIntUDPCCIP,TotIntUDPCCIP,TCPCCFlow,TCPCCBytes,WebFlows,GoogleFlows,CCHTTPBytes,CCHTTPFlow,CCHTTP69Flows,CCHTTO69Bytes,TCPCC67FLows,TCPCC62Flows,TCPCC70Flows,TCPCC71Flows,TCPCC80Flows,UDPCCNewEstBytes,WEBBytes,GoogleBytes,SSLGoogleFLows,SSLGoogleBytes,EstDNSFlows,EstDNSBytes,TCPCustEncFlows,TCPCustEncBytes,UDPEstBytes
0,0,16,30,6,9,2443,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,348,0,0,0
1,300,15,593,2,10,432129,5,1,7,1,7,1,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2811,0,0,0,0,0,0,0,0,2811
2,600,79,693,3,54,448931,9,7,38,13,38,6,7,38,45,0,0,0,3,0,0,0,0,0,0,0,0,0,14682,0,89729,1,85906,2,774,0,0,17267
3,900,2923,16551,4,415,6522908,9,0,1,0,1,0,7,0,45,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,127719,2,87106,963,163935,0,0,0
4,1200,1603,9486,5,214,4196000,5,0,0,0,0,0,7,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,64102,0,0,0
5,1500,502,1980,3,110,481775,5,0,0,0,0,0,7,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,21674,0,0,0
6,1800,397,1571,1,79,304920,5,0,0,0,0,0,7,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,20806,0,0,0
7,2100,335,1299,2,66,272394,5,0,0,0,0,0,7,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,16110,0,0,0
8,2400,364,1421,3,73,304485,6,5,0,5,0,0,7,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,17982,0,0,2221
9,2700,322,1166,2,69,200707,6,2,0,2,0,0,7,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,15048,0,0,922
